subtrait,item,broad/specific,prompt_question,length_prompt,length_question,num_question
,,specific,"Imagine you’re leading a team on a long-term project, and there’s no fixed deadline and no serious consequences for delays. You’re debating whether to assign team members a timeline and closely monitor their work, or to give them the freedom to work independently and trust that they’ll stay motivated.
Questions:
What would you do in this situation, and why?
Do you think postponing tasks reflects a common tendency in people, or is it more about individual motivation?",,,
,It is hard to get ahead without cutting corners here and there.,broad,"In many professional or personal situations, people may feel pressure to succeed quickly or stay ahead in a competitive environment. Some believe that cutting corners or using less-than-ideal practices is sometimes necessary to make progress, while others argue that success should always come through ethical behavior and adherence to standards.
Questions:
Do you think it’s ever justifiable to cut corners in order to get ahead? Why or why not? Do you prefer to stay ahead by cutting corners, or do you prefer to stick to ethical behavior? Why?",,,
,,specific,"At your job, you notice a colleague who seems to thrive by skirting around certain rules to achieve results faster. They claim that cutting corners is just part of the game and that everyone does it. 
Questions:
Do you think that cutting corners is essential to getting ahead? Why? Do you prefer to stay ahead by cutting corners, or do you prefer to stick to ethical behavior? Why?",,,
,Most people are basically good and kind.,broad,"People differ in how they view human nature. Some believe that most people are fundamentally good and kind, while others believe that people are primarily self-interested and will take advantage of others if given the chance.
Questions:
Do you believe most people are good and kind, or do you tend to be more cautious or skeptical? Why? Has your view changed over time based on your personal experiences?",,,
,,specific,"Imagine you’ve lost your wallet in a public place. It contains cash, your personal ID, and contact information. When you realize it’s missing, you start to wonder: will someone find it and return it to you?
Questions:
How likely do you think it is that someone would return your wallet? Why?
Do you believe most people are good and kind, or do you tend to be more cautious or skeptical?",,,
,"Most people who get ahead in the world lead clean, moral lives.",broad,"People have different views about how success is achieved in the world. Some believe that those who rise to the top usually do so by working hard and acting with integrity. Others think that getting ahead often involves bending the rules, cutting corners, or acting in ways that aren't entirely moral.
Questions:
In your opinion, do most successful people achieve their status by leading honest and moral lives, or by doing whatever it takes to succeed? Why? Which would you choose: leading a moral life or doing whatever it takes to succeed?",,,
,,specific,"Imagine a coworker you know recently got a big promotion. Some colleagues say it's because of their hard work and strong ethics. Others believe the person got ahead by playing office politics—flattering supervisors, taking credit for others’ work, and strategically avoiding blame. You’ve had a few neutral interactions with this person, so you’re not entirely sure what to think.
Questions:
What is your first instinct about how they got ahead? Why?
When you see someone succeed, do you tend to assume it’s due to merit or strategy?",,,
,Most men are brave.,broad,"People differ in how they view human nature. Some believe that most people are brave—they stand up for what’s right or show courage in difficult situations. Others believe that people generally avoid taking risks or stay silent when things get hard.
Questions:
Do you think most people are brave, or do they tend to avoid taking risks? When you think of bravery in everyday life, how often do you actually see it, and in what situations?",,,
,,specific,"Imagine you're in a public place—like a store or on the street—and someone is clearly being treated unfairly or harassed. A group of people nearby starts to watch, and you wonder whether anyone will actually step in to help.
Questions:
In that kind of situation, would you expect someone to step in and do something? Why or why not?
How often do you think people are willing to take risks to help others in public situations?",,,
,Most people forget more easily the death of their parents than the loss of their property.,broad,"People differ in what they believe truly matters in life. Some think that relationships—like the bond with one’s parents—are the most meaningful, and that emotional losses are the hardest to bear. Others believe that material losses, such as money or property, can cause deeper or longer-lasting pain, especially when they affect a person’s stability or future.
Questions:
Which is harder for you to lose: a loved one or something of great material value? Why? Do you think people are more emotionally attached to people, or to what they own?",,,
,,specific,"Imagine two people you know recently experienced a loss. One lost a large amount of money or valuable property. The other lost a parent they were close to. A few months later, you notice that the person who lost their parent seems to be doing okay, while the one who lost their property still seems angry, anxious, or resentful. People around you start debating which kind of loss has a deeper impact.
Questions:
Do you think people are more emotionally attached to people, or to what they own? Which is harder for you to lose: a loved one or something of great material value? Why? ",,,
